Date,BCHAIN/DIFF,BCHAIN/AVBLS,BCHAIN/HRATE,BCHAIN/TOTBC
2009-03-24,1.0,0.000215980952380952,5.76639127704e-06,433750.0
2009-03-25,1.0,0.000233236667329,5.76639127703704e-06,439400.0
2009-03-26,1.0,0.000205958973278,5.46812965926e-06,444900.0
2009-03-27,1.0,0.000215952830188679,5.91552208593e-06,441600.0
2009-03-28,1.0,0.000205959592547,5.91552208592593e-06,456450.0
2009-03-29,1.0,0.000205871582031,6.2137837036999994e-06,462700.0
2009-03-30,1.0,0.00021585,5.617260468149999e-06,463650.0
2009-03-31,1.0,0.000205877785371,5.61726046814815e-06,473700.0
2009-04-01,1.0,0.000205874443054,5.96523235556e-06,479700.0
2009-04-02,1.0,0.000215886956521739,5.617260468149999e-06,485350.0
2009-04-03,1.0,0.000205748904068,5.61726046814815e-06,491000.0
2009-04-04,1.0,0.000205964081047,6.41262478222e-06,488250.0
2009-04-05,1.0,0.000231553846153846,5.71668100741e-06,503200.0
2009-04-06,1.0,0.00020598401927,5.71668100740741e-06,508150.0
2009-04-07,1.0,0.000205993652344,5.16986804148e-06,513350.0
2009-04-08,1.0,0.000216,4.921316693329999e-06,510350.0
2009-04-09,1.0,0.000205799213891,4.92131669333333e-06,523450.0
2009-04-10,1.0,0.000212888248631,6.06465289481e-06,529550.0
2009-04-11,1.0,0.000223333333333333,5.71668100741e-06,535300.0
2009-04-12,1.0,0.000216475777004,5.71668100740741e-06,532500.0
2009-04-13,1.0,0.000205933578371,6.31320424296e-06,547400.0
2009-04-14,1.0,0.000215951612903226,5.56755019852e-06,553000.0
2009-04-15,1.0,0.000205931624746,5.56755019851852e-06,559150.0
2009-04-16,1.0,0.000205844381581,5.71668100741e-06,554650.0
2009-04-17,1.0,0.000215857142857143,6.06465289481e-06,571000.0
2009-04-18,1.0,0.000214905298057,6.06465289481481e-06,576950.0
2009-04-19,1.0,0.00024832212008,5.816101546669999e-06,576750.0
2009-04-20,1.0,0.000327033613445378,6.11436316444e-06,588950.0
2009-04-21,1.0,0.00020592271789,6.11436316444444e-06,595000.0
2009-04-22,1.0,0.000205790996552,3.97682157037e-06,599000.0
2009-04-23,1.0,0.00021568,5.617260468149999e-06,598900.0
2009-04-24,1.0,0.0002058607633,5.61726046814815e-06,610750.0
2009-04-25,1.0,0.000221733653217,5.41841938963e-06,616200.0
2009-04-26,1.0,0.000232053571428572,5.21957831111e-06,621450.0
2009-04-27,1.0,0.000205732818343,5.21957831111111e-06,621400.0
2009-04-28,1.0,0.000205846336799,6.11436316444e-06,633450.0
2009-04-29,1.0,0.00023409375,6.56175559111e-06,640050.0
2009-04-30,1.0,0.000205885104048,6.56175559111111e-06,646200.0
2009-05-01,1.0,0.000207683904384,6.11436316444e-06,643600.0
2009-05-02,1.0,0.000231373015873016,5.66697073778e-06,658050.0
2009-05-03,1.0,0.000212333241447,5.66697073777778e-06,664150.0
2009-05-04,1.0,0.000230933680679,6.56175559111e-06,670750.0
2009-05-05,1.0,0.000224666666666667,6.81030693926e-06,666300.0
