date,open,high,low,close,volume,market cap,textBlob_polarity,textBlob_subjectivity,vader_compound,vader_negative_score,vader_neutral_score,vader_positive_score,finBert_text_positive_score,finBert_text_negative_score,finBert_text_neutral_score,finBert_title_positive_score,finBert_title_negative_score,finBert_title_neutral_score,num_art,finbert_text_label,finbert_title_label,textBlob_label,vader_label,lm_label
2022-12-07,290.38460007359095,290.4856768771334,282.0208143099411,284.28443825899683,759320493.67,45476734071.7,0.027448593073593028,0.31020021645021645,0.8255571428571429,0.07928571428571429,0.7511428571428571,0.1692857142857143,0.024714285714285716,0.416,0.559,0.050571428571428566,0.20557142857142857,0.7445714285714286,1.0,neutral,neutral,positive,positive,positive
2022-12-06,288.4617675791092,290.6016300394947,287.1078806358415,290.3544751176752,610280514.37,46447810674.27,0.03435470779220774,0.3221185064935065,0.7657857142857143,0.09442857142857143,0.7357142857142858,0.16942857142857143,0.024571428571428574,0.472,0.503,0.06085714285714285,0.2948571428571429,0.6448571428571428,1.0,neutral,neutral,positive,positive,positive
2022-12-05,292.20890533944885,296.91216617934543,286.53869404118257,288.4742846217309,705616865.68,46147098395.14,0.041260822510822456,0.3340367965367966,0.7060142857142857,0.10957142857142857,0.7202857142857143,0.1695714285714286,0.024428571428571428,0.528,0.44700000000000006,0.07114285714285713,0.3841428571428572,0.5451428571428572,1.0,negative,neutral,positive,positive,positive
2022-12-04,290.55311314892145,292.3376217141244,288.5040701792881,292.28828765048104,633441009.01,46757282793.46,0.04816693722943717,0.3459550865800866,0.6462428571428571,0.12471428571428572,0.7048571428571428,0.16971428571428573,0.024285714285714285,0.584,0.391,0.08142857142857142,0.4734285714285714,0.4454285714285714,1.0,negative,negative,positive,positive,positive
2022-12-03,293.5003783364164,294.0430315017049,289.70445532003185,290.56315122291403,634607104.65,46481371529.18,0.055073051948051885,0.35787337662337665,0.5864714285714285,0.13985714285714285,0.6894285714285715,0.16985714285714287,0.024142857142857143,0.6399999999999999,0.335,0.0917142857142857,0.5627142857142857,0.3457142857142857,1.0,negative,negative,positive,positive,positive
2022-12-02,292.0285496141132,293.52749828495735,286.14068032461034,293.52749828495735,854253817.61,46955638514.8,0.0619791666666666,0.3697916666666667,0.5267,0.155,0.674,0.17,0.024,0.696,0.279,0.102,0.652,0.246,1.0,negative,negative,positive,positive,positive
2022-12-01,300.75436932721533,301.47968627170087,290.55370725031435,292.0162158841991,1433086339.66,46713966636.4,0.051588804713804684,0.40347101972101973,0.32184999999999997,0.14100000000000001,0.7048333333333333,0.1535,0.04516666666666666,0.5746666666666667,0.37950000000000006,0.08166666666666667,0.442,0.47633333333333333,1.3333333333333335,negative,neutral,positive,neutral,positive
2022-11-30,295.5482102008608,304.6509707697371,294.38225255668254,300.79435258519953,1009620335.72,48118283430.36,0.04119844276094277,0.4371503727753727,0.11699999999999999,0.127,0.7356666666666667,0.137,0.06633333333333333,0.4533333333333333,0.48000000000000004,0.06133333333333334,0.23199999999999998,0.7066666666666667,1.6666666666666667,neutral,neutral,positive,neutral,positive
2022-11-29,293.49181264246255,304.8228240119022,289.7636319025678,295.49816647454537,986451640.27,47271122270.62,0.03080808080808085,0.47082972582972576,-0.08784999999999998,0.113,0.7665,0.1205,0.0875,0.332,0.5805,0.041,0.022,0.937,2.0,neutral,neutral,positive,neutral,negative
2022-11-28,307.3995769226449,309.0960879149104,289.4936888193508,293.5272454597266,1154829072.15,46955899031.7,0.026157117148496493,0.4633542734404803,-0.23945833333333333,0.12416666666666668,0.7615833333333333,0.11424999999999999,0.07841666666666666,0.31866666666666665,0.6029166666666667,0.04783333333333333,0.022,0.9301666666666667,1.8333333333333333,neutral,neutral,positive,neutral,negative
2022-11-27,311.3720554395853,316.2198687490085,307.15636096351113,307.4292787510256,793779029.11,49179890751.32,0.021506153488912133,0.4558788210512348,-0.3910666666666667,0.13533333333333333,0.7566666666666666,0.108,0.06933333333333333,0.30533333333333335,0.6253333333333333,0.05466666666666667,0.022,0.9233333333333333,1.6666666666666665,neutral,neutral,positive,neutral,negative
2022-11-26,300.57175832585466,316.962116504338,300.38946394293714,311.38846692993263,1221554861.37,49813311436.08,0.016855189829327776,0.44840336866198927,-0.542675,0.1465,0.7517499999999999,0.10175000000000001,0.06025,0.29200000000000004,0.64775,0.0615,0.022,0.9165000000000001,1.5,neutral,neutral,positive,negative,negative
2022-11-25,300.3338324355583,304.1632593131861,294.9123327323767,300.5776955566342,949045514.69,48083958346.11,0.012204226169743418,0.4409279162727438,-0.6942833333333334,0.15766666666666668,0.7468333333333333,0.0955,0.051166666666666666,0.2786666666666667,0.6701666666666667,0.06833333333333333,0.022,0.9096666666666667,1.3333333333333333,neutral,neutral,positive,negative,negative
2022-11-24,297.945873804405,303.0646314614419,294.5315442116029,300.42783232226185,1219177799.2,48060047573.8,0.007553262510159059,0.43345246388349834,-0.8458916666666667,0.16883333333333334,0.7419166666666667,0.08925,0.042083333333333334,0.2653333333333333,0.6925833333333333,0.07516666666666667,0.022,0.9028333333333334,1.1666666666666667,neutral,neutral,positive,negative,negative
2022-11-23,266.4203393749893,300.0202139501217,265.03496868450964,297.8474285213313,1920236927.74,47647318081.63,0.0029022988505747,0.4259770114942528,-0.9975,0.18,0.737,0.083,0.033,0.252,0.715,0.082,0.022,0.896,1.0,neutral,neutral,positive,negative,negative
2022-11-22,254.0190876595586,266.892158986297,252.3899560480185,266.3243519236751,800429058.43,42604562672.57,-0.0403593073593073,0.44725865800865805,-0.5101,0.0945,0.8285,0.0765,0.0325,0.176,0.792,0.024,0.088,0.888,2.0,neutral,neutral,negative,negative,negative
2022-11-21,264.23577636412955,264.74255260673164,250.65693898383032,254.1682519089928,1094850660.77,40659978958.69,-0.042287445887445846,0.3678069264069264,-0.4387,0.1008,0.8136,0.0852,0.0458,0.31699999999999995,0.6376,0.20040000000000002,0.078,0.7216,1.7999999999999998,neutral,neutral,negative,neutral,negative
2022-11-20,272.43030779932866,273.6504953265068,262.55529741297687,264.2351228742344,720361905.04,42270466525.64,-0.04421558441558438,0.28835519480519484,-0.36729999999999996,0.1071,0.7987,0.0939,0.0591,0.45799999999999996,0.4832,0.3768,0.068,0.5552,1.6,neutral,neutral,negative,neutral,negative
2022-11-19,273.8872104535001,274.26245068671017,269.64954256448505,272.3976660613954,551451227.83,43576320416.4,-0.046143722943722924,0.2089034632034632,-0.2959,0.1134,0.7838,0.1026,0.0724,0.599,0.3288,0.5532,0.057999999999999996,0.3888,1.4,negative,positive,negative,neutral,negative
2022-11-18,267.91411083745265,274.50594264405703,267.9135566881097,273.91997807147203,685307607.94,43819908779.79,-0.04807186147186146,0.12945173160173162,-0.2245,0.1197,0.7689,0.1113,0.0857,0.74,0.17439999999999997,0.7296,0.048,0.2224,1.2,negative,positive,negative,neutral,negative
