date,open,high,low,close,volume,market cap,bchain/diff,bchain/avbls,bchain/hrate,bchain/totbc,textBlob_polarity,textBlob_subjectivity,vader_compound,vader_negative_score,vader_neutral_score,vader_positive_score,finBert_text_positive_score,finBert_text_negative_score,finBert_text_neutral_score,finBert_title_positive_score,finBert_title_negative_score,finBert_title_neutral_score,num_art,finbert_text_label,finbert_title_label,textBlob_label,vader_label,lm_label
2022-12-29,16552.322490686318,16651.75666380368,16508.683153231756,16642.342671885614,14472237478.79,320309344585.85,35364065900457.0,1.2632121843971629,247871972.4067509,19246600.0,0.11226190476190472,0.4868105158730158,0.472725,0.0675,0.75475,0.17775,0.379,0.05525,0.5655,0.0625,0.030000000000000002,0.90725,4.0,neutral,neutral,positive,neutral,positive
2022-12-28,16716.40022056822,16768.170355524755,16497.557038840765,16552.571736514474,17005713920.05,318567071312.32,35364065900457.0,1.026325125,295336818.18676704,19245725.0,0.11226190476190472,0.4868105158730158,0.472725,0.0675,0.75475,0.17775,0.379,0.05525,0.5655,0.0625,0.030000000000000002,0.90725,4.0,neutral,neutral,positive,neutral,positive
2022-12-27,16919.291650123574,16959.846476047544,16642.073182208023,16717.17398012714,15748580239.21,321717198701.45,35364065900457.0,1.3764050521739133,202165083.87784645,19244631.25,0.007660340599822727,0.4495758104979374,0.08942857142857143,0.10657142857142857,0.7717142857142857,0.122,0.242,0.3505714285714286,0.4072857142857143,0.03842857142857143,0.19314285714285712,0.7684285714285715,7.0,neutral,neutral,positive,neutral,positive
2022-12-26,16842.249310575324,16920.123640467442,16812.370075923343,16919.80517492847,11886957803.69,325604307791.2,35364065900457.0,1.1192635116279068,226776485.39341035,19243975.0,0.0492426336403951,0.34731387187490004,-0.15776666666666664,0.12333333333333334,0.753,0.12366666666666666,0.11199999999999999,0.33349999999999996,0.5545,0.12933333333333333,0.111,0.7593333333333333,6.0,neutral,neutral,positive,neutral,negative
2022-12-25,16847.505364105884,16860.553971121557,16755.253233558044,16841.98705228377,11656379938.06,324093186300.93,35364065900457.0,0.9879369787234048,247871972.4067509,19243225.0,0.02053315010127899,0.4785651933227435,0.17672500000000002,0.115625,0.7248749999999999,0.15975,0.106625,0.105,0.788125,0.16625,0.202375,0.6315000000000001,8.0,neutral,neutral,positive,neutral,positive
2022-12-24,16796.976619520563,16864.702878905566,16793.528184511397,16847.755265154647,9744636213.3,324190184505.64,35364065900457.0,1.449313056179775,156458195.34894204,19242318.75,0.05335985978683027,0.4492656777656112,-0.2587833333333333,0.12516666666666668,0.7439999999999999,0.13083333333333333,0.3053333333333333,0.23433333333333337,0.46,0.026333333333333334,0.18400000000000002,0.7896666666666666,6.0,neutral,neutral,positive,neutral,negative
2022-12-23,16829.643586035916,16905.219359989063,16794.459352221234,16796.952171216344,15329265212.56,323203056785.65,35364065900457.0,1.2620145833333334,232050357.14674556,19241693.75,0.02076422945765312,0.42430029151218246,0.24736363636363637,0.11518181818181818,0.7348636363636364,0.1499090909090909,0.21531818181818183,0.24245454545454545,0.5422272727272728,0.08218181818181818,0.2852272727272727,0.6325454545454545,22.0,neutral,neutral,positive,neutral,positive
2022-12-22,16818.380287653727,16866.674326763485,16592.40745444739,16830.341423934446,16441573050.1,323831438044.37,35364065900457.0,1.244493999999999,237324228.90008065,19240987.5,0.028925104834381588,0.405912240947979,0.4972083333333333,0.089875,0.7647499999999999,0.1455,0.1735,0.22183333333333333,0.6045833333333334,0.10158333333333334,0.26458333333333334,0.6336666666666667,24.0,neutral,neutral,positive,neutral,positive
2022-12-21,16904.527354049867,16916.79988236787,16755.91221318602,16817.53438655099,14882945044.81,323570505189.58,35364065900457.0,1.2201296153846155,251387886.90897432,19239931.25,0.04245086730253582,0.4251363560869064,0.488421875,0.10621875,0.7359375,0.15778125,0.21734375,0.35625,0.42634375,0.10115625,0.23725,0.661625,32.0,neutral,neutral,positive,neutral,positive
2022-12-20,16441.786800099886,17012.984705296407,16427.867238763847,16906.30521042145,22722096614.76,325263465984.55,35364065900457.0,1.3143528285714288,246114015.1556391,19239231.25,0.017812920609224753,0.42220783089499436,0.40294444444444444,0.09055555555555557,0.7592222222222221,0.1501111111111111,0.16196296296296298,0.2896666666666667,0.5481851851851852,0.1378148148148148,0.26233333333333336,0.5998518518518519,27.0,neutral,neutral,positive,neutral,positive
2022-12-19,16759.04092682387,16807.526574065127,16398.136251675314,16439.679646162964,17221074813.55,316271488936.78,34606598588472.797,1.3223222941176471,233961255.1644386,19238287.5,0.03366621082509942,0.4139820110697002,0.2285826086956522,0.09869565217391305,0.7530434782608696,0.14830434782608695,0.20265217391304347,0.2877391304347826,0.5094782608695653,0.074,0.21173913043478262,0.7143478260869565,23.0,neutral,neutral,positive,neutral,positive
2022-12-18,16795.6092258732,16815.386575543896,16697.82003455788,16757.977403246638,10924354698.17,322379914497.22,34244331613176.0,0.9801544137931034,246832768.8777272,19237343.75,0.029300721500721483,0.4772199958771387,-0.6054999999999999,0.1626,0.7306,0.1066,0.05639999999999999,0.5067999999999999,0.4368,0.041800000000000004,0.1834,0.7744,5.0,negative,neutral,positive,negative,negative
2022-12-17,16646.982567247887,16800.590192749856,16614.02894738076,16795.09096721353,14463581825.22,323078968931.9,34244331613176.0,1.2896539782608694,234916704.1732852,19236406.25,0.01592261904761905,0.3896701388888889,-0.92535,0.15100000000000002,0.7645,0.0845,0.022,0.11099999999999999,0.867,0.0245,0.263,0.7124999999999999,2.0,neutral,neutral,positive,negative,negative
2022-12-16,17364.546443268817,17505.5250524957,16584.70139828051,16647.48347882862,24031608959.5,320225997953.71,34244331613176.0,1.183964853846154,221298344.51106572,19235625.0,-0.007972209691159988,0.3964960660939645,-0.036907999999999996,0.11624000000000001,0.765,0.11864,0.11932000000000001,0.36664,0.51408,0.10568,0.3344,0.56004,25.0,neutral,neutral,negative,neutral,negative
2022-12-15,17813.644122701808,17846.744460573012,17322.590067121728,17364.864911262914,20964448340.77,334010450284.36,34244331613176.0,1.235629726618705,236618999.1310626,19234937.5,0.021904750659129148,0.4198484492228924,0.40203809523809525,0.1060952380952381,0.7528095238095238,0.1410952380952381,0.12266666666666667,0.433047619047619,0.4442857142857143,0.14747619047619048,0.2460952380952381,0.6065714285714285,21.0,neutral,neutral,positive,neutral,positive
2022-12-14,17782.066878037138,18318.53058436097,17739.51426382607,17815.64985465091,25534481470.02,342665763913.11,34244331613176.0,1.2053584324324325,251939653.75105944,19234012.5,0.018163433115688885,0.42484704479726826,0.5174555555555556,0.10166666666666667,0.7506296296296296,0.14777777777777779,0.16992592592592592,0.2975555555555556,0.5326666666666666,0.11155555555555556,0.31755555555555554,0.5708518518518518,27.0,neutral,neutral,positive,positive,positive
