date,open,high,low,close,volume,market cap,textBlob_polarity,textBlob_subjectivity,vader_compound,vader_negative_score,vader_neutral_score,vader_positive_score,finBert_text_positive_score,finBert_text_negative_score,finBert_text_neutral_score,finBert_title_positive_score,finBert_title_negative_score,finBert_title_neutral_score,num_art,finbert_text_label,finbert_title_label,textBlob_label,vader_label,lm_label
2022-12-30,0.3428307857693879,0.3453128195910706,0.3353332707832553,0.3450166491949626,672119601.88,17369345853.33,0.1159145289298515,0.4812882808499744,0.57828,0.05800000000000001,0.7462,0.196,0.1012,0.2364,0.6622,0.22139999999999999,0.027200000000000002,0.7514000000000001,5.0,neutral,neutral,positive,positive,positive
2022-12-29,0.3565238798968662,0.3572253774172396,0.338910633485074,0.3428463235604528,898022518.4,17260084063.65,0.1159145289298515,0.4812882808499744,0.57828,0.05800000000000001,0.7462,0.196,0.1012,0.2364,0.6622,0.22139999999999999,0.027200000000000002,0.7514000000000001,5.0,neutral,neutral,positive,positive,positive
2022-12-28,0.3681215463148307,0.3685431764184456,0.3561363667646191,0.3565306739312116,839617675.85,17949002163.47,0.1159145289298515,0.4812882808499744,0.57828,0.05800000000000001,0.7462,0.196,0.1012,0.2364,0.6622,0.22139999999999999,0.027200000000000002,0.7514000000000001,5.0,neutral,neutral,positive,positive,positive
2022-12-27,0.3657283401529298,0.3722697760021074,0.3594411460173136,0.3681258675115283,905248563.36,18532744797.34,0.04269480519480523,0.44022366522366524,-0.1466666666666667,0.14033333333333334,0.7216666666666667,0.1376666666666667,0.09833333333333333,0.4503333333333333,0.451,0.12666666666666668,0.084,0.79,3.0,neutral,neutral,positive,neutral,negative
2022-12-26,0.3463830488660402,0.3691031886747259,0.3459691579179877,0.3657227475804335,797909103.06,18411763327.88,0.07765502244668913,0.5279320987654321,0.4966333333333333,0.06733333333333334,0.8023333333333333,0.13066666666666668,0.326,0.20933333333333334,0.46399999999999997,0.051,0.08933333333333333,0.8593333333333334,3.0,neutral,neutral,positive,neutral,positive
2022-12-25,0.352187614523816,0.352187614523816,0.3447232412083219,0.3463916901106733,323700210.23,17438570226.37,0.002920103815937186,0.43640123456790125,-0.15033333333333332,0.12891666666666668,0.7481666666666666,0.12333333333333335,0.3715,0.36991666666666667,0.25825,0.03675,0.2806666666666667,0.6829166666666666,2.5,positive,neutral,positive,neutral,negative
2022-12-24,0.3542775881917862,0.3543019971768567,0.351499147947239,0.3521787905611544,225391031.76,17729913120.82,-0.07181481481481475,0.3448703703703704,-0.7972999999999999,0.1905,0.694,0.116,0.417,0.5305,0.0525,0.0225,0.47200000000000003,0.5065,2.0,negative,neutral,negative,negative,negative
2022-12-23,0.3495910005578631,0.354545709617496,0.347702902885434,0.3542730550687145,577979156.36,17835345727.12,0.03567261904761907,0.4382930957930958,0.55221,0.0775,0.7558,0.16670000000000001,0.1889,0.1276,0.6837,0.11340000000000001,0.0916,0.7950999999999999,10.0,neutral,neutral,positive,positive,positive
2022-12-22,0.3459709973776086,0.3497897958693721,0.3423735999753456,0.3495995774215303,685101341.71,17600066502.82,0.05848967178577967,0.46394977368938006,0.3996142857142857,0.09328571428571429,0.7518571428571429,0.15514285714285717,0.06085714285714285,0.31742857142857145,0.6215714285714286,0.14728571428571427,0.161,0.6914285714285714,7.0,neutral,neutral,positive,neutral,positive
2022-12-21,0.3493321264143942,0.3501507640830869,0.3397355671717174,0.3460196584562023,743732203.95,17419840850.58,0.02826835664335664,0.46768444055944053,0.8575200000000001,0.0508,0.7979999999999999,0.1508,0.257,0.3,0.44320000000000004,0.053000000000000005,0.20820000000000002,0.7392000000000001,5.0,neutral,neutral,positive,positive,positive
2022-12-20,0.3389042053508461,0.3528223203714716,0.3372592582408241,0.3493729763856973,932296714.92,17588658613.46,-0.0477716727716728,0.4140873015873015,-0.5233333333333333,0.12333333333333334,0.7726666666666667,0.10433333333333332,0.026333333333333334,0.3186666666666667,0.6546666666666666,0.024666666666666667,0.169,0.8066666666666666,3.0,neutral,neutral,negative,negative,negative
2022-12-19,0.3502848308307213,0.3525531925511206,0.3343070134738361,0.3388698216014857,986711247.34,17059893035.27,-0.012906746031746038,0.449327380952381,-0.2653,0.11599999999999999,0.7968,0.08759999999999998,0.1928,0.6045999999999999,0.2028,0.025,0.2514,0.7238,5.0,negative,neutral,negative,neutral,negative
2022-12-18,0.3548134732173469,0.3549596702771313,0.3485922175799569,0.3502704711164164,313888825.84,17633841639.89,2.810846560845348e-05,0.45811276455026456,0.16255000000000003,0.10074999999999999,0.77515,0.1243,0.1134,0.42929999999999996,0.45765,0.023,0.2672,0.7099,3.5,neutral,neutral,positive,neutral,positive
2022-12-17,0.3519154679002028,0.3564176388412299,0.3488387443548795,0.3548098914598235,590468249.51,17862371950.25,0.012962962962962947,0.4668981481481481,0.5904,0.08549999999999999,0.7535000000000001,0.161,0.034,0.254,0.7125,0.020999999999999998,0.28300000000000003,0.6960000000000001,2.0,neutral,neutral,positive,positive,positive
2022-12-16,0.3782136376589736,0.3796304738286551,0.348126497175457,0.3519879221455775,1061370203.25,17720304136.65,-0.033999368686868724,0.5660195707070708,0.8216,0.05675,0.7797499999999999,0.1635,0.046,0.232,0.7222500000000001,0.09050000000000001,0.07225,0.83725,4.0,neutral,neutral,negative,positive,positive
2022-12-15,0.3863873055774476,0.3866610061411047,0.3753745960358133,0.3782366226811623,739736056.5,19061409181.94,0.0279687395937396,0.4328015318015318,0.13182,0.1058,0.798,0.0964,0.272,0.4358000000000001,0.2918,0.2262,0.1264,0.6474,5.0,negative,neutral,positive,neutral,positive
2022-12-14,0.3951008874023516,0.395253201427935,0.3808631176171698,0.3864137177786692,893235466.3,19473497663.67,-0.20272435897435895,0.5941105769230769,0.03315000000000001,0.112,0.7525,0.135,0.488,0.2205,0.29100000000000004,0.391,0.13999999999999999,0.469,2.0,positive,neutral,negative,neutral,positive
2022-12-13,0.3873858587972754,0.3960852059691727,0.379269601664332,0.3951023365490305,1137292765.03,19911364616.99,0.06422419447497814,0.45340462393753933,0.7797000000000001,0.08233333333333333,0.7326666666666667,0.18466666666666667,0.058666666666666666,0.12233333333333334,0.8183333333333334,0.08066666666666666,0.029666666666666664,0.8896666666666667,3.0,neutral,neutral,positive,positive,positive
2022-12-12,0.3817314945029807,0.3887516130246352,0.3726953405108139,0.3873938867556564,881038173.31,19522893731.68,-0.0159982263107263,0.5058691077441078,0.4335333333333333,0.10283333333333333,0.7565,0.14049999999999999,0.12566666666666668,0.25666666666666665,0.6176666666666667,0.038,0.17883333333333332,0.7833333333333333,6.0,neutral,neutral,negative,neutral,positive
2022-12-11,0.3867123703129909,0.3885335341289448,0.3805540961153399,0.3817490830922009,366643113.97,19238421245.6,-0.019072029822029823,0.5164925895863396,0.27774166666666666,0.09191666666666666,0.7685,0.1395,0.08583333333333334,0.20008333333333334,0.7138333333333333,0.063,0.18166666666666664,0.7556666666666667,4.0,neutral,neutral,negative,neutral,positive
2022-12-10,0.3891618621132447,0.3893170491778339,0.3862071340961248,0.3866976418608235,331624479.71,19487806148.84,-0.02214583333333335,0.5271160714285713,0.12195,0.081,0.7805,0.1385,0.046,0.14350000000000002,0.81,0.088,0.1845,0.728,2.0,neutral,neutral,negative,neutral,positive
2022-12-09,0.3945501945171469,0.3949286980845455,0.3862201882827081,0.3891529038258317,693718602.75,19611540208.84,0.027916666666666673,0.42027777777777775,0.3224,0.13033333333333333,0.7006666666666667,0.169,0.04466666666666667,0.492,0.46366666666666667,0.03166666666666667,0.31633333333333336,0.6516666666666667,3.0,negative,neutral,positive,neutral,positive
2022-12-08,0.3837187236866587,0.3950138044612328,0.3836045433708784,0.3945445958372919,770396955.61,19829987451.52,0.04017885898320678,0.47453243616287094,0.30394000000000004,0.0868,0.7736,0.14,0.0558,0.1836,0.7605999999999999,0.0692,0.2274,0.7038,5.0,neutral,neutral,positive,neutral,positive
2022-12-07,0.3920911577820999,0.3920911577820999,0.376582981519584,0.3837211974322059,839949038.43,19285998617.76,0.017639547670920196,0.420316630355846,0.55682,0.085,0.7352000000000001,0.18,0.2334,0.1386,0.6284,0.2412,0.1142,0.6444,5.0,neutral,neutral,positive,positive,positive
